name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Isle Royale Light,47.941389,-88.766944,Lighthouse,1875,1875-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Isle%20Royale%20Light.JPG,https://en.wikipedia.org/wiki/Isle_Royale_Light,Keweenaw,
Waugoshance Light,45.775,-85.088611,Lighthouse,1850,1850-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Waugoshance%20Light%202015.jpg,https://en.wikipedia.org/wiki/Waugoshance_Light,Emmet,
Granite Island Lighthouse,46.720833,-87.411944,Lighthouse,1868,1868-01-01,"historic lighthouse on Lake Superior in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Granite%20Island%20Lighthouse.jpg,https://en.wikipedia.org/wiki/Granite_Island_Lighthouse,Marquette,
Peninsula Point Lighthouse,45.668056,-86.966667,Lighthouse,1865,1865-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/PeninsulaPointLight.jpg,https://en.wikipedia.org/wiki/Peninsula_Point_Light,Delta,
Sturgeon Point Light,44.71,-83.272222,Lighthouse,1869,1869-01-01,"historic lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Sturgeon%20Point%20Light%20%282018%29.jpg,https://en.wikipedia.org/wiki/Sturgeon_Point_Light,Alcona,
Thunder Bay Island Light,45.037222,-83.194444,Lighthouse,1831,1831-01-01,"historic lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Thunder%20Bay%20Island%20Light%20%2815434973514%29.jpg,https://en.wikipedia.org/wiki/Thunder_Bay_Island_Light,Alpena,
Saginaw River Rear Range Light,43.635556,-83.850278,Lighthouse,1839,1839-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/SaginawRiverLight.jpg,https://en.wikipedia.org/wiki/Saginaw_River_Rear_Range_Light,Bay,
Harbor Beach Light,43.845556,-82.630833,Lighthouse,1858,1858-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Harbor%20Beach%20Light.jpg,https://en.wikipedia.org/wiki/Harbor_Beach_Light,Huron,
Detroit River Light,42.00075,-83.140681,Lighthouse,1875,1875-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Bar%20Point%20Shoal%20-%20Detroit%20River%20Light%20MI.JPG,https://en.wikipedia.org/wiki/Detroit_River_Light,Monroe,
Port Sanilac Light,43.428889,-82.54,Lighthouse,1886,1886-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Port%20Sanilac%20Light%20%28Port%20Sanilac%20Mich%29.jpg,https://en.wikipedia.org/wiki/Port_Sanilac_Light,Sanilac,
