name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Neebish Island Historical Society,46.25196,-84.1751,HSC,,,,,,Chippewa,
Ishpeming Historical Society,46.48992,-87.66531,HSC,,,,,,Marquette,Ishpeming
Byers,42.60452,-83.46062,HSC,,,,,HTTP://WWW.BYERSHOMESTEAD.ORG,Oakland,
Ithaca Area Historical Society,43.29156,-84.6065,HSC,,,,,,Gratiot,
Mary Sheldon Ismon House,42.24301,-84.75449,HSC,,,,,,Calhoun,Albion
Port Austin Area Historical Society,44.02383,-82.99507,HSC,,,"website, operated by the Port Austin Historical Society",,HTTP://WWW.ARTSCENTEROFCC.COM/WHITEOAKCRAFTSFAIR.HTML,Huron,Port Austin
Waugoshance Lighthouse Preservation Society,45.77657,-84.73786,HSC,,,,,HTTP://WWW.WAUGOSHANCE.ORG/,Emmet,
Sunfield Historical Society,42.76493,-84.97925,HSC,,,,,HTTP://WWW.SUNFIELDHISTORICALSOCIETY.COM/,Eaton,Sunfield
Saginaw Valley Historic Preservation Society,43.42366,-83.93019,HSC,,,,,,Saginaw,
Grindstone City Historical Society,44.05798,-82.89955,HSC,,,,,,Huron,
Freeport Historical Society,42.76087,-85.30396,HSC,,,,,HTTP://FREEPORTHISTORICALSOCIETY.ORG/,Barry,Freeport
Hancock Pewabic House & Museum Society,47.12584,-88.58273,HSC,,,,,,Houghton,
Houghton & Keweenaw County Genealogical Society,47.24098,-88.44959,HSC,,,"Operated by the Houghton County Historical Society, site includes a railroad, one room schoolhouse, the Houghton County Historical Society Heritage Center and a WPA-era log cabin; participating institution in Keweenaw National Historical Park",,HTTP://WWW.HKCGS.ORG,Houghton,Calumet
Norwegian Lutheran Church Historical Society,47.248,-88.45379,HSC,,,,,,Houghton,
Eloise,42.34081,-83.33377,HSC,,,,,,Wayne,
Norwood Area Historical Society,45.21782,-85.38009,HSC,,,,,HTTP://NORWOODHISTORY.ORG/,Charlevoix,Charlevoix
Engadine Historical Society,46.15269,-85.55362,HSC,,,,,HTTP://WWW.HSMICHIGAN.ORG/,Mackinac,Engadine
Gogebic Range Geneaology Society,46.45659,-90.16009,HSC,,,,,HTTP://WWW.GOGEBICROOTS.COM/,Gogebic,
Broadway,43.60437,-84.77436,HSC,,,,,,Isabella,Mt Pleasant
Ortonvlle Community Historical Society,42.84286,-83.42638,HSC,,,,,,Oakland,
Wilkinson Homestead Historical Society,45.10792,-85.3508,HSC,,,,,,Antrim,Eastport
Lincoln Park Preservation Alliance,42.24396,-83.18042,HSC,,,"website, operated by the Lincoln Park Historical Society",,https://en.wikipedia.org/wiki/Lincoln_Park_Historical_Museum?action=edit&redlink=1,Wayne,Lincoln Park
Paradise & Mayfield Historical Society,44.5737,-85.53447,HSC,,,,,,Grand Traverse,
Corunna Historical Village Of Shiawassee County,42.98311,-84.11788,HSC,,,"website, operated by the Corunna Historical Commission, open only four times a year",,https://en.wikipedia.org/wiki/Corunna_Historical_Village?action=edit&redlink=1,Shiawassee,Corunna
Historical Preservation Society Of Dundee,41.95505,-83.65909,HSC,,,,,HTTP://WWW.DUNDEEOLDMILL.COM,Monroe,Dundee
Western Michigan Society For Industrial Heritage,43.06032,-85.94083,HSC,,,,,HTTP://WMSIH.COM/,Ottawa,
Fishtown Preservation Society,45.02201,-85.76187,HSC,,,,,HTTP://WWW.FISHTOWNMI.ORG/,Leelanau,Leland
Michigan Fallen Heroes Memorial,42.62719,-83.30021,HSC,,,"website, honors Michigan soldiers, sailors, aviators and astronauts who fought in our nation's foreign wars and bravely explored outer space; formerly known as Michigan's Military & Space Heroes Museum",,HTTP://WWW.MICHIGANFALLENHEROES.COM,Oakland,Frankenmuth
Preservation Owosso,43.00352,-84.18258,HSC,,,,,,Shiawassee,
Otsego Area Historical Society,42.46092,-85.6968,HSC,,,"website, operated by the Otsego County Historical Society",,HTTP://WWW.OTSEGOHISTORY.ORG,Allegan,Otsego
Stockbridge Area Genealogical Historical Society,42.46135,-84.22744,HSC,,,,,,Ingham,
Pointe Aux Barques Lighthouse Society,43.94996,-82.71807,HSC,,,"Two museums, one about shipwrecks in Lake Huron, the other about the lighthouse",,https://en.wikipedia.org/wiki/Pointe_aux_Barques_Lighthouse,Huron,Huron Township
Western District Historical Society,42.96404,-85.65872,HSC,,,,,,Kent,
Garden City Historical Museum,42.33076,-83.3507,HSC,,,,,,Wayne,
Ton-Up,42.24586,-83.61089,HSC,,,,,HTTPS://WWW.FACEBOOK.COM/THETONUP,Washtenaw,
City Hall,42.707,-82.52051,HSC,,,,,HTTP://WWW.FRIENDSOFCITYHALL.COM/,St. Clair,
Marine Historical Society Of Detroit,42.60533,-83.94147,HSC,,,"Operated by the Detroit Historical Society, includes a 19th-century street scene, local businesses including automobile companies, leaders, culture and heritage",,HTTP://MHSD.ORG,Livingston,Detroit
Albion Historical Society,42.24184,-84.75295,HSC,,,,,HTTP://ALBIONHISTORICALSOCIETY.ORG,Calhoun,
Beaver Island Historical Society Of Michigan,45.6965,-85.53122,HSC,,,"website, includes Old Mormon Print Shop Museum of local history, the Maritime Museum about fishing on the island, and Protar Home, a historic log cabin",,HTTP://WWW.BEAVERISLANDHISTORY.ORG,Charlevoix,St. James
